sequence_id,did_overheat_binary_label
0,1
1,0
2,0
3,0
4,1
5,0
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,1
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,1
37,1
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,0
69,1
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,0
78,0
79,1
80,1
81,1
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,1
90,1
91,1
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,1
100,1
101,1
102,1
103,1
104,0
105,1
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,1
124,0
125,1
126,0
127,0
128,1
129,0
130,0
131,0
132,1
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,0
144,0
145,1
146,0
147,0
148,1
149,0
150,0
151,0
152,1
153,1
154,0
155,1
156,0
157,1
158,1
159,1
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,1
186,1
187,1
188,0
189,1
190,0
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,1
207,0
208,0
209,1
210,1
211,0
212,1
213,0
214,1
215,1
216,1
217,0
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,1
226,0
227,0
228,1
229,1
230,1
231,0
232,0
233,1
234,1
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,1
244,1
245,0
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,1
254,1
255,1
256,0
257,0
258,0
259,0
260,1
261,1
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,0
272,1
273,0
274,0
275,0
276,0
277,1
278,1
279,1
280,1
281,0
282,0
283,1
284,0
285,1
286,0
287,1
288,0
289,1
290,0
291,1
292,0
293,0
294,0
295,1
296,1
297,0
298,1
299,1
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,0
313,1
314,1
315,1
316,0
317,0
318,0
319,1
320,1
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,1
343,0
344,1
345,0
346,1
347,1
348,1
349,1
